Country,Region,Date,Brand,Metric,Value,Grouping
SWE,all,2018-01-08,AwesomeInsurance,Unaided Awareness,64.74,all
SWE,all,2018-01-08,CoolInsurance,Unaided Awareness,62.17,all
SWE,all,2018-01-08,AwesomeInsurance,Aided Awareness,70.44,all
SWE,all,2018-01-08,CoolInsurance,Aided Awareness,79.77,all
SWE,all,2018-01-08,AwesomeInsurance,Consideration,26.16,all
SWE,all,2018-01-08,BestInsurance,Consideration,30.74,all
SWE,all,2018-01-08,CoolInsurance,Consideration,32.77,all
SWE,all,2018-01-08,AwesomeInsurance,Penetration,33.43,all
SWE,all,2018-01-08,BestInsurance,Penetration,33.23,all
SWE,all,2018-01-08,CoolInsurance,Penetration,38.07,all
SWE,all,2018-01-08,AwesomeInsurance,Purchase Intent,19.98,all
SWE,all,2018-01-08,AwesomeInsurance,Buzz,38.21,all
SWE,all,2018-01-08,AwesomeInsurance,Wom,20.6,all
SWE,all,2018-01-08,AwesomeInsurance,Recommendation,49.02,all
SWE,all,2018-01-08,AwesomeInsurance,Satisfaction,12.36,all
SWE,all,2018-01-08,CoolInsurance,Satisfaction,11.14,all
SWE,all,2018-01-08,AwesomeInsurance,Likability,33.06,all
SWE,all,2018-01-08,AwesomeInsurance,Quality,74.86,all
SWE,all,2018-01-08,CoolInsurance,Quality,77.42,all
SWE,all,2018-01-08,AwesomeInsurance,Impression,12.12,all
SWE,all,2018-01-08,CoolInsurance,Impression,12.83,all
SWE,all,2018-01-15,AwesomeInsurance,Unaided Awareness,55.33,all
SWE,all,2018-01-15,CoolInsurance,Unaided Awareness,60.97,all
SWE,all,2018-01-15,AwesomeInsurance,Aided Awareness,82.22,all
SWE,all,2018-01-15,CoolInsurance,Aided Awareness,92.25,all
SWE,all,2018-01-15,AwesomeInsurance,Consideration,30.77,all
SWE,all,2018-01-15,BestInsurance,Consideration,25.28,all
SWE,all,2018-01-15,CoolInsurance,Consideration,32.08,all
SWE,all,2018-01-15,AwesomeInsurance,Penetration,32.57,all
SWE,all,2018-01-15,BestInsurance,Penetration,35.92,all
SWE,all,2018-01-15,CoolInsurance,Penetration,31.25,all
SWE,all,2018-01-15,AwesomeInsurance,Purchase Intent,19.99,all
SWE,all,2018-01-15,AwesomeInsurance,Buzz,30.97,all
SWE,all,2018-01-15,AwesomeInsurance,Wom,21.86,all
SWE,all,2018-01-15,AwesomeInsurance,Recommendation,49.31,all
SWE,all,2018-01-15,AwesomeInsurance,Satisfaction,12.76,all
SWE,all,2018-01-15,CoolInsurance,Satisfaction,10.89,all
SWE,all,2018-01-15,AwesomeInsurance,Likability,31.67,all
SWE,all,2018-01-15,AwesomeInsurance,Quality,91.91,all
SWE,all,2018-01-15,CoolInsurance,Quality,80.9,all
SWE,all,2018-01-15,AwesomeInsurance,Impression,13.21,all
SWE,all,2018-01-15,CoolInsurance,Impression,12.7,all
SWE,all,2018-01-22,AwesomeInsurance,Unaided Awareness,62.93,all
