Country,Region,Date,Product,Media,Investment,Grouping
SWE,all,2018-01-08,Brand,Display,107204,all
SWE,all,2018-01-08,Pc,Display,0,all
SWE,all,2018-01-08,Brand,Facebook,0,all
SWE,all,2018-01-08,Pc,Facebook,0,all
SWE,all,2018-01-08,Brand,Google,2342,all
SWE,all,2018-01-08,Life,Google,253,all
SWE,all,2018-01-08,Pc,Google,6332,all
SWE,all,2018-01-08,Brand,MicrosoftBing,142,all
SWE,all,2018-01-08,Life,MicrosoftBing,0,all
SWE,all,2018-01-08,Pc,MicrosoftBing,539,all
SWE,all,2018-01-08,Brand,OOHAirport,0,all
SWE,all,2018-01-08,Brand,OOHSponsoringLFP,0,all
SWE,all,2018-01-08,Brand,Print,0,all
SWE,all,2018-01-08,Brand,Radio,0,all
SWE,all,2018-01-08,Brand,TVConventional,0,all
SWE,all,2018-01-08,Pc,TVConventional,0,all
SWE,all,2018-01-08,Brand,TVSPNS,0,all
SWE,all,2018-01-08,Brand,TVSponsoringLFP,0,all
SWE,all,2018-01-08,Pc,TVSponsoringLFP,8570,all
SWE,all,2018-01-08,Brand,TVStadium,0,all
SWE,all,2018-01-08,Pc,TVStadium,56381,all
SWE,all,2018-01-15,Brand,Display,0,all
SWE,all,2018-01-15,Pc,Display,0,all
SWE,all,2018-01-15,Brand,Facebook,0,all
SWE,all,2018-01-15,Pc,Facebook,0,all
SWE,all,2018-01-15,Brand,Google,2134,all
SWE,all,2018-01-15,Life,Google,295,all
SWE,all,2018-01-15,Pc,Google,14874,all
SWE,all,2018-01-15,Brand,MicrosoftBing,179,all
SWE,all,2018-01-15,Life,MicrosoftBing,0,all
SWE,all,2018-01-15,Pc,MicrosoftBing,654,all
SWE,all,2018-01-15,Brand,OOHAirport,0,all
SWE,all,2018-01-15,Brand,OOHSponsoringLFP,0,all
SWE,all,2018-01-15,Brand,Print,8604,all
SWE,all,2018-01-15,Brand,Radio,0,all
SWE,all,2018-01-15,Brand,TVConventional,0,all
SWE,all,2018-01-15,Pc,TVConventional,0,all
SWE,all,2018-01-15,Brand,TVSPNS,0,all
SWE,all,2018-01-15,Brand,TVSponsoringLFP,0,all
SWE,all,2018-01-15,Pc,TVSponsoringLFP,10914,all
SWE,all,2018-01-15,Brand,TVStadium,0,all
SWE,all,2018-01-15,Pc,TVStadium,56381,all
SWE,all,2018-01-22,Brand,Display,0,all
SWE,all,2018-01-22,Pc,Display,0,all
SWE,all,2018-01-22,Brand,Facebook,0,all
SWE,all,2018-01-22,Pc,Facebook,0,all
SWE,all,2018-01-22,Brand,Google,2097,all
SWE,all,2018-01-22,Life,Google,327,all
SWE,all,2018-01-22,Pc,Google,11880,all
SWE,all,2018-01-22,Brand,MicrosoftBing,186,all
SWE,all,2018-01-22,Life,MicrosoftBing,0,all
SWE,all,2018-01-22,Pc,MicrosoftBing,51,all
SWE,all,2018-01-22,Brand,OOHAirport,0,all
SWE,all,2018-01-22,Brand,OOHSponsoringLFP,0,all
SWE,all,2018-01-22,Brand,Print,8604,all
SWE,all,2018-01-22,Brand,Radio,0,all
SWE,all,2018-01-22,Brand,TVConventional,0,all
SWE,all,2018-01-22,Pc,TVConventional,0,all
SWE,all,2018-01-22,Brand,TVSPNS,0,all
SWE,all,2018-01-22,Brand,TVSponsoringLFP,0,all
SWE,all,2018-01-22,Pc,TVSponsoringLFP,10328,all
SWE,all,2018-01-22,Brand,TVStadium,0,all
SWE,all,2018-01-22,Pc,TVStadium,56381,all
SWE,all,2018-01-29,Brand,Display,0,all
SWE,all,2018-01-29,Pc,Display,0,all
SWE,all,2018-01-29,Brand,Facebook,0,all
SWE,all,2018-01-29,Pc,Facebook,0,all
SWE,all,2018-01-29,Brand,Google,2324,all
SWE,all,2018-01-29,Life,Google,359,all
SWE,all,2018-01-29,Pc,Google,10565,all
SWE,all,2018-01-29,Brand,MicrosoftBing,218,all
SWE,all,2018-01-29,Life,MicrosoftBing,0,all
SWE,all,2018-01-29,Pc,MicrosoftBing,13,all
SWE,all,2018-01-29,Brand,OOHAirport,0,all
SWE,all,2018-01-29,Brand,OOHSponsoringLFP,0,all
SWE,all,2018-01-29,Brand,Print,8604,all
SWE,all,2018-01-29,Brand,Radio,0,all
SWE,all,2018-01-29,Brand,TVConventional,0,all
SWE,all,2018-01-29,Pc,TVConventional,0,all
SWE,all,2018-01-29,Brand,TVSPNS,0,all
SWE,all,2018-01-29,Brand,TVSponsoringLFP,0,all
SWE,all,2018-01-29,Pc,TVSponsoringLFP,11500,all
SWE,all,2018-01-29,Brand,TVStadium,0,all
SWE,all,2018-01-29,Pc,TVStadium,56381,all
SWE,all,2018-02-05,Brand,Display,0,all
SWE,all,2018-02-05,Pc,Display,0,all
